Time,Y,Y_type,CL,Drug,ConcInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3107.92466666667,IFNg,HighExpr,HighAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4098.57533333333,IFNg,HighExpr,HighAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IFNg,HighExpr,HighAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,895.903366666667,IFNg,HighExpr,HighAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3349.155,IFNg,HighExpr,HighAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4031.43733333333,IFNg,HighExpr,HighAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,TNFa,HighExpr,HighAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,TNFa,HighExpr,HighAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,TNFa,HighExpr,HighAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,TNFa,HighExpr,HighAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,TNFa,HighExpr,HighAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,TNFa,HighExpr,HighAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,TNFa,HighExpr,HighAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,TNFa,HighExpr,HighAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,TNFa,HighExpr,HighAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,TNFa,HighExpr,HighAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,TNFa,HighExpr,HighAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,9.544323,TNFa,HighExpr,HighAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,TNFa,HighExpr,HighAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,36.9275833333333,TNFa,HighExpr,HighAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,79.83588,TNFa,HighExpr,HighAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,92.3293666666667,TNFa,HighExpr,HighAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,TNFa,HighExpr,HighAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,213.4785,TNFa,HighExpr,HighAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,478.512266666667,TNFa,HighExpr,HighAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,934.334766666666,TNFa,HighExpr,HighAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,TNFa,HighExpr,HighAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,195.387233333333,TNFa,HighExpr,HighAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,796.738233333333,TNFa,HighExpr,HighAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1426.96433333333,TNFa,HighExpr,HighAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,TNFa,HighExpr,HighAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,199.4678,TNFa,HighExpr,HighAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,646.6904,TNFa,HighExpr,HighAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1531.62366666667,TNFa,HighExpr,HighAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IFNg,HighExpr,LowAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IFNg,HighExpr,LowAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,IFNg,HighExpr,LowAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,IFNg,HighExpr,LowAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IFNg,HighExpr,LowAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IFNg,HighExpr,LowAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,IFNg,HighExpr,LowAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,25.3124883333333,IFNg,HighExpr,LowAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IFNg,HighExpr,LowAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IFNg,HighExpr,LowAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,IFNg,HighExpr,LowAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,126.042933333333,IFNg,HighExpr,LowAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IFNg,HighExpr,LowAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IFNg,HighExpr,LowAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,71.71025,IFNg,HighExpr,LowAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,430.5386,IFNg,HighExpr,LowAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IFNg,HighExpr,LowAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,112.613846666667,IFNg,HighExpr,LowAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,304.102933333333,IFNg,HighExpr,LowAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1212.64856666667,IFNg,HighExpr,LowAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IFNg,HighExpr,LowAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,256.354666666667,IFNg,HighExpr,LowAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1194.78336666667,IFNg,HighExpr,LowAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2615.81866666667,IFNg,HighExpr,LowAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IFNg,HighExpr,LowAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,371.834633333333,IFNg,HighExpr,LowAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
